restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Abhishek Dhaba,3.8,300,26,0,1,0,0,0,0,,Ahmedabad
Abhishek Non Veg Restaurant,4.3,250,34,0,1,1,0,1,0,,Ahmedabad
Abhishek Sweets,3.6,100,22,0,0,0,1,0,0,,Ahmedabad
Abhishek Veg Restaurant,4.3,100,34,1,1,1,1,0,0,,Ahmedabad
Abid's,4.2,100,34,0,1,0,0,1,0,,Ahmedabad
Above & Beyond By Country Express,4.3,350,25,0,1,0,0,0,0,,Ahmedabad
Abraco,4,150,42,0,0,1,0,0,0,,Ahmedabad
ABR's Kitchen,4.2,150,32,0,1,1,0,0,0,,Ahmedabad
Ab's,4.3,200,33,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.1,150,38,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.3,200,28,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.4,300,30,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.5,350,20,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.6,100,20,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.6,150,35,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.6,200,49,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.7,100,49,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.7,150,50,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.7,350,28,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.8,250,33,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,3.9,500,60,0,1,0,0,1,0,,Ahmedabad
AB's - Absolute Barbecues,4,150,43,0,1,0,0,1,0,,Ahmedabad
AB'S Kitchen,3.6,100,51,0,1,1,0,0,0,,Ahmedabad
Ab's Potoba,4,250,27,0,1,0,0,0,0,,Ahmedabad
Absolute Momo,4,100,46,0,0,1,0,0,0,,Ahmedabad
Absolute Momo Cafe,4.2,200,42,0,0,1,0,0,0,,Ahmedabad
Absolute Shawarma,3.4,150,24,0,0,1,0,0,0,,Ahmedabad
Absolute Shawarma,3.7,350,42,0,0,0,0,0,0,,Ahmedabad
Absolute Shawarma,4,100,37,0,0,0,0,0,0,,Ahmedabad
Absolute Shawarma,4,150,28,0,0,1,0,0,0,,Ahmedabad
Absolute Shawarma,4,200,38,0,0,1,0,0,0,,Ahmedabad
Absolute Tandoor,4.2,300,35,0,1,0,0,1,0,,Ahmedabad
Absolute Thai,4.2,200,51,0,0,0,0,0,0,,Ahmedabad
Abu Al Baik,3.9,200,44,0,0,1,0,0,0,,Ahmedabad
Abul Biryani,4.1,100,44,0,0,0,0,1,0,,Ahmedabad
Aburish Restaurant,3.8,300,23,1,1,0,0,1,0,,Ahmedabad
Ace Bakers,4,100,38,0,0,0,0,0,1,,Ahmedabad
ACE Food Zone,4,100,38,0,1,1,1,0,0,,Ahmedabad
Achal Restaurant Banquet & Cafe,3.8,200,40,0,1,1,0,0,0,,Ahmedabad
Achanak Juice,4.2,200,30,0,0,0,0,0,0,,Ahmedabad
Achariz Food,3.3,150,38,0,1,0,0,0,0,,Ahmedabad
Achayathis Restaurant,4.1,300,47,1,0,0,0,0,0,,Ahmedabad
Achija,4.1,250,48,1,1,1,0,0,0,,Ahmedabad
Achija Fast Food,3.9,200,47,0,0,1,1,0,0,,Ahmedabad
Achman Foods,4.2,150,37,1,1,0,1,0,0,,Ahmedabad
Acs -2,4.2,100,42,0,0,1,0,0,0,,Ahmedabad
ACS 3,4.4,200,33,0,0,1,0,0,0,,Ahmedabad
ACS Chinese Flavour,4,400,33,0,0,0,0,0,0,,Ahmedabad
AD Momos,4,100,27,0,0,0,0,0,0,,Ahmedabad
AD Momos,4,200,19,0,0,1,0,0,0,,Ahmedabad
Ada - E - Haandi,4.2,100,48,0,1,0,0,0,0,,Ahmedabad
Ada Sigdi Se,4.4,150,34,0,0,0,0,0,0,,Ahmedabad
Adalat Hotel,3.9,150,30,0,1,0,0,1,0,,Ahmedabad
Adalat Hotel,4.1,250,29,0,0,0,0,0,0,,Ahmedabad
Adam Bakers,3.7,100,49,0,0,1,0,0,1,,Ahmedabad
Adam's Kabab Shop,3.7,150,54,0,0,0,0,1,0,,Ahmedabad
Adarsh Dhaba,3.7,150,15,0,1,0,0,1,0,,Ahmedabad
Adarsh Ji Bhojnalaya And Fast Food,3.5,200,42,0,1,0,0,0,0,,Ahmedabad
Adarsh Meat Shop,3.6,100,22,0,1,0,1,0,0,,Ahmedabad
Adarsha Hindu Hotel,4.2,250,44,0,1,0,0,0,0,,Ahmedabad
Adda,4.1,200,35,1,1,1,0,0,0,,Ahmedabad
Adda,4.3,250,64,0,1,0,0,0,0,,Ahmedabad
Adda Ghar,3.7,200,57,0,1,0,1,0,0,,Ahmedabad
Adda Unplugged,4.2,150,29,0,1,0,0,0,0,,Ahmedabad
Addy's Baithak,4.2,100,35,0,1,0,0,0,0,,Ahmedabad
Addy's Burgers & Pizza,3.5,100,43,0,0,1,0,0,0,,Ahmedabad
Adhikari Chinese Food,3.9,150,25,0,0,0,1,0,0,,Ahmedabad
Adhiya Beef Biriyani,3.1,200,41,1,0,0,0,0,0,,Ahmedabad
Adhiya Beef Biriyani,3.6,200,45,0,0,0,0,1,0,,Ahmedabad
Adi Dada Bhai Restaurant,3.3,250,35,0,1,0,0,0,0,,Ahmedabad
Adi Kalpana Pice Hotel,3.5,100,26,0,1,0,0,0,0,,Ahmedabad
Adi Sree Hari Mistanna Bhandar,4.3,100,47,0,0,0,1,0,0,,Ahmedabad
Adiga's,3.7,150,29,1,1,0,1,1,0,,Ahmedabad
Adihaah Dhaba Cafe,3.3,150,29,0,1,0,1,0,0,,Ahmedabad
Adihaah Restrocafe,3.1,100,26,0,0,0,1,0,0,,Ahmedabad
Adihaah Restrocafe,3.6,100,38,0,1,0,0,1,0,,Ahmedabad
Adil Biryani Centre,4.1,200,30,0,0,0,0,1,0,,Ahmedabad
Adil Biryani Restaurant,4.1,250,39,0,1,0,0,1,0,,Ahmedabad
Adingo,4,100,29,0,1,1,0,0,0,,Ahmedabad
Adis Cafe,4,100,25,0,0,1,1,0,0,,Ahmedabad
Adi's Cafe N Dine,3.8,100,36,0,1,1,0,0,0,,Ahmedabad
Aditi,4.2,300,23,1,1,1,0,0,0,,Ahmedabad
