restaurant_name,rating,average_price,average _delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,,City
Kailash Parbat,4,200,26,0,1,0,1,0,0,,Lucknow
Kailash Parbat,4.1,100,43,0,1,0,1,0,0,,Lucknow
Kailash Parbat,4.1,150,65,0,1,1,0,0,0,,Lucknow
Kailash Parbat,4.2,100,36,0,1,0,1,0,0,,Lucknow
Kailash Pav Bhaji,4.2,100,27,0,0,0,1,0,0,,Lucknow
Kailash Pavbhaji & Chinese,4,100,42,0,0,1,1,0,0,,Lucknow
Kailash Pavitra Bhojanalya,3.6,100,27,0,1,0,0,0,0,,Lucknow
Kailash Restaurant,3.9,200,26,0,1,0,1,0,0,,Lucknow
Kailash Sweets & Snacks,4.3,100,25,0,0,1,1,0,0,,Lucknow
Kainat Food Corner,4,300,26,0,0,0,0,1,0,,Lucknow
Kaind Pakora Junction,3.9,150,24,0,0,1,1,0,0,,Lucknow
Kairali Adukkala,3.9,100,24,0,1,0,0,1,0,,Lucknow
Kairav Urban Pizza,4,150,38,0,0,1,0,0,0,,Lucknow
Kairos,3.6,50,20,0,1,1,0,0,0,,Lucknow
Kairos Restro Grills Bar,3.9,250,35,0,1,0,0,1,0,,Lucknow
Kaisley Fast Food,4.2,250,30,0,0,0,0,0,0,,Lucknow
KAIYI Fast Food Cafe,4,100,21,0,0,1,1,0,0,,Lucknow
Kaizen Cafe,4,100,38,0,1,0,0,0,0,,Lucknow
Kajal Paratha Point,3.7,150,37,0,1,1,1,0,0,,Lucknow
Kajal Restaurant And Chaat Bhandar,3.8,50,46,1,1,1,1,0,0,,Lucknow
Kajals Yummy Juice & Chat,3.9,100,16,0,0,0,0,0,0,,Lucknow
Kaju's Pizza,4,150,29,0,0,1,0,0,0,,Lucknow
Kaka Biryani,4,150,41,0,1,0,0,1,0,,Lucknow
Kaka Cafe And Sweets,4.1,200,30,1,1,1,0,0,0,,Lucknow
Kaka Chicken,4.3,150,41,0,1,0,0,1,0,,Lucknow
Kaka Dabeli,4.2,50,24,0,0,0,1,0,0,,Lucknow
Kaka Halwai,4.4,100,18,0,0,0,1,0,0,,Lucknow
Kaka Halwai Sweet Centre,4.4,200,33,0,0,0,1,0,0,,Lucknow
Kaka Ni Bhaji Pav And Fast Food,3.8,50,29,1,1,0,1,0,0,,Lucknow
Kaka Ni Pav Bhaji,4,100,27,1,1,0,1,1,0,,Lucknow
Kaka Ni Pavbhaji & Pulav,3,100,34,0,1,0,1,0,0,,Lucknow
Kaka Pav Bhaji Centre,3.8,150,27,1,0,0,1,1,0,,Lucknow
Kaka Ram Sweets,4.1,250,24,0,0,0,0,0,0,,Lucknow
Kaka Shudh Bhojanalya,3.5,200,29,0,1,0,0,0,0,,Lucknow
Kakada Ramprasad,4.6,300,48,0,1,1,1,0,0,,Lucknow
Kakaji Corner,4.4,150,44,0,1,0,1,0,0,,Lucknow
Kaka's Chicken,3.2,100,33,0,1,1,0,0,0,,Lucknow
Kaka's Paratha,4.2,200,42,0,1,0,0,0,0,,Lucknow
Kaka'zz Baking Room,4.1,100,29,0,0,0,0,0,0,,Lucknow
Kake D Hatti,4,150,44,0,1,0,0,0,0,,Lucknow
Kake Da Dhaba,3.9,100,37,1,1,1,0,0,0,,Lucknow
Kake Da Hotel,4,50,60,0,1,0,1,1,0,,Lucknow
Kake Da Hotel,4,100,38,0,1,0,0,1,0,,Lucknow
Kake Da Hotel,4.1,100,27,0,1,0,0,1,0,,Lucknow
Kake Da Hotel Estd 1931,4,100,38,0,1,0,0,0,0,,Lucknow
Kake Da Minar,4.1,300,43,0,1,1,0,1,0,,Lucknow
Kake De Chole Bhature,4.2,150,17,0,1,0,0,0,0,,Lucknow
Kake De Chole Bhature Delhi Wale,3.5,50,33,0,1,0,0,0,0,,Lucknow
Kake De Paranthe,4.3,400,36,0,1,1,0,0,0,,Lucknow
Kake Di Hatti,3.1,400,42,0,1,1,0,0,0,,Lucknow
Kake Di Hatti,3.2,150,31,0,1,0,0,0,0,,Lucknow
Kake Di Hatti,3.2,250,43,0,1,1,0,0,0,,Lucknow
Kake Di Hatti,3.5,150,39,0,1,0,0,0,0,,Lucknow
Kake Di Hatti,3.6,200,38,0,1,0,0,0,0,,Lucknow
Kake Di Hatti,3.7,50,35,0,1,0,0,0,0,,Lucknow
Kake Di Hatti,3.8,100,33,0,1,0,0,0,0,,Lucknow
Kake Di Hatti,3.8,200,23,0,1,1,0,0,0,,Lucknow
Kake Di Hatti,3.9,150,37,0,1,1,0,0,0,,Lucknow
Kake Di Hatti,4,100,34,1,1,1,1,0,0,,Lucknow
Kake Di Hatti,4.2,250,34,0,1,1,0,0,0,,Lucknow
Kake Di Hatti - Since 1942,4.2,200,47,0,1,0,0,0,0,,Lucknow
Kake Di Hatti Siliguri,3.8,250,40,0,1,0,0,1,0,,Lucknow
Kake The Biryani,3.8,100,29,0,1,0,0,1,0,,Lucknow
Kake Walk,4.5,150,35,0,0,1,0,0,1,,Lucknow
Kaki Ni Pav Bhaji And Fast Food,3.3,200,37,0,0,0,0,0,0,,Lucknow
Kakinada Special Butta Biryani,3.7,100,21,0,0,0,0,1,0,,Lucknow
Kakkar's Chaap,4.2,150,24,0,1,1,0,0,0,,Lucknow
Kakkar's Kitchen,4.2,50,26,1,1,0,0,0,0,,Lucknow
Kakkoo's Kitchen,3.9,150,30,0,1,0,0,1,0,,Lucknow
Kakori by Let's Meat,4.2,200,47,0,1,0,0,0,0,,Lucknow
Kaku Fast Foodies Junction,3.9,250,35,0,0,1,0,0,0,,Lucknow
Kakunje's Parathas,4.3,100,38,0,1,0,0,0,0,,Lucknow
Kakunje's Rasoi,3.9,200,43,0,1,0,0,1,0,,Lucknow
Kala Chicken Corner,3.5,150,27,0,1,0,0,0,0,,Lucknow
Kala Dhaba,3.9,100,33,0,1,1,0,0,0,,Lucknow
Kalapi,4.2,50,31,1,1,1,0,0,0,,Lucknow
Kalappa Restaurant,3.8,150,31,0,0,0,1,0,0,,Lucknow
Kale Da Dhaba,4,200,18,0,1,0,0,0,0,,Lucknow
Kale Ka Dhaba,4.1,100,29,0,1,0,0,0,0,,Lucknow
Kaleem Ahmad Bahar Restaurant,4.1,200,21,0,1,0,0,0,0,,Lucknow
Kaleidoscope,4,300,28,0,1,1,0,0,0,,Lucknow
Kaleva,4.2,150,29,1,1,0,1,0,0,,Lucknow
Kaleva,4.2,200,25,1,1,0,1,0,0,,Lucknow
Kaleva All Day Diner,4.3,200,22,0,1,0,0,0,0,,Lucknow
Kalevum,4.1,200,25,0,0,0,1,0,0,,Lucknow
Kali Mirch - Adding Spice To Life,4.2,150,20,0,1,0,0,0,0,,Lucknow
Kaligodam,4.2,200,25,1,0,0,1,0,0,,Lucknow
Kalika,3.6,350,30,0,1,0,0,0,0,,Lucknow
Kalika Dhaba,3.3,100,33,0,1,0,0,1,0,,Lucknow
Kalika Fast Food,3.1,250,36,0,1,1,1,0,0,,Lucknow
Kalika Haveli,4,100,35,0,1,0,0,1,0,,Lucknow
Kalika Hotel,4,200,31,0,1,0,0,0,0,,Lucknow
Kalika Hutz - Trusted & Safe Handi Cooked,3.2,150,41,1,1,0,0,0,0,,Lucknow
Kalika Restaurant,3.4,200,39,0,1,0,0,1,0,,Lucknow
Kalika Restaurant,3.8,100,30,0,1,0,0,1,0,,Lucknow
Kalika Restaurant,3.8,350,39,0,1,0,0,1,0,,Lucknow
Kalika Sweets,4.3,150,28,0,0,0,1,0,0,,Lucknow
Kalima's Kerala Kitchen,3.9,100,34,1,0,0,0,1,0,,Lucknow
Kalinga Food Express,4.4,100,30,0,1,1,1,0,0,,Lucknow
Kalinga Kitchen,3.4,300,27,0,1,1,0,1,0,,Lucknow
Kalinga Restaurant,4.2,250,35,0,1,1,0,0,0,,Lucknow
Kalinga Restaurant & Bar,4.5,50,41,0,1,0,0,0,0,,Lucknow
Kalinga Tribe: Touching Hunger With Traditional Tadka,3.6,200,47,0,1,1,0,1,0,,Lucknow
Kalita Bakery & Confectionery,3.7,200,58,0,0,1,0,0,1,,Lucknow
Kalita Cafe,4.4,150,54,0,0,1,0,0,0,,Lucknow
Kalita Spectrum,4.2,250,48,0,1,0,0,1,0,,Lucknow
Kalkatta Chat,4.1,100,27,0,0,0,1,0,0,,Lucknow
Kalkatta Chat,4.1,200,31,0,0,0,1,0,0,,Lucknow
Kallada Sangeetha Hotels,3.5,100,34,1,1,0,0,0,0,,Lucknow
Kallu Kabab,4.3,150,29,0,1,0,0,0,0,,Lucknow
Kallu Kachouri Bhandar,4.3,200,29,0,1,0,1,0,0,,Lucknow
Kalluppu Restaurant,3.6,150,31,1,0,0,0,0,0,,Lucknow
Kalorie Count,4.2,50,30,0,0,1,0,0,0,,Lucknow
Kalpana,4.3,250,43,1,1,0,0,0,0,,Lucknow
Kalpana Restaurant Cum Bar,3.7,200,30,0,1,0,1,0,0,,Lucknow
Kalpavrixa Vegetarian,3.8,100,38,0,1,1,0,0,0,,Lucknow
Kalpavruksha,4.2,250,42,1,1,0,0,0,0,,Lucknow
Kalpvriksha,4.2,200,37,0,1,0,0,1,0,,Lucknow
Kalra Ice Cream,4.3,350,25,0,0,0,0,0,0,,Lucknow
Kalra Sweet Shop,4,200,35,0,0,1,1,0,0,,Lucknow
Kalra's Kitchen,4.1,100,34,0,1,0,0,0,0,,Lucknow
Kalsang,4.1,150,43,0,0,0,0,0,0,,Lucknow
Kalsang,4.2,150,36,0,0,0,0,0,0,,Lucknow
Kalsang Cafe,4.2,50,46,0,0,1,0,0,0,,Lucknow
Kalsang Friends Corner,4.1,350,39,0,1,1,0,0,0,,Lucknow
Kalsang Restaurant,3.9,150,41,0,0,0,0,0,0,,Lucknow
Kalsi Snack Bar,3.7,200,44,0,1,1,0,0,0,,Lucknow
Kaluram Mawa Wala,4.1,350,26,0,0,0,1,0,0,,Lucknow
Kalyan,3.6,250,28,1,1,1,0,0,0,,Lucknow
Kalyan Rooftop Restaurant & Bar,3.6,300,31,1,1,1,0,0,0,,Lucknow
Kalyana Biryani & Fast Food,3.3,400,33,1,0,0,0,1,0,,Lucknow
Kalyan-G Bakery,3.8,200,27,0,0,0,0,0,1,,Lucknow
Kalyani Veg,4.2,100,36,1,1,1,0,0,0,,Lucknow
Kamadhenu Relax Corner,3.6,200,25,1,0,0,0,0,0,,Lucknow
Kamakhya Namkeens,3.9,200,24,0,0,0,1,0,0,,Lucknow
Kamakshi Fast Food,3.2,100,30,0,1,0,1,0,0,,Lucknow
Kamakshi Restaurant,3.5,200,39,0,1,0,0,0,0,,Lucknow
Kamal Dairy & Baker's,4.3,150,20,0,0,0,0,0,1,,Lucknow
Kamal Dairy And Confectionery,4.1,300,20,0,0,0,0,0,1,,Lucknow
Kamal Pure Veg Family Restaurant,4.1,150,28,1,1,0,0,1,0,,Lucknow
Kamal Restaurant,4.3,150,42,0,1,1,1,0,0,,Lucknow
Kamal Restaurant And Dining Hall,4.1,350,28,0,1,0,0,0,0,,Lucknow
Kamal Sweets,4.2,150,40,0,0,0,1,0,0,,Lucknow
Kamal Vaishno Dhaba,4.1,150,28,0,1,0,0,0,0,,Lucknow
Kamal Vegetarian,4,150,32,1,1,0,0,0,0,,Lucknow
Kamaljit Amritsar Naan,4,150,13,0,1,0,0,0,0,,Lucknow
Kamat Hotel,4.3,350,28,1,1,0,0,0,0,,Lucknow
Kamat Madhuvan,4.3,250,21,1,1,0,0,0,0,,Lucknow
Kamat Restaurant,3.6,250,24,1,1,0,0,0,0,,Lucknow
Kamat Restaurant,3.9,100,37,1,1,0,0,0,0,,Lucknow
Kamat Restaurant And Lunch Home,3.9,100,26,1,0,0,1,0,0,,Lucknow
Kamath's Govindashram Pavbhaji,4.3,300,53,0,0,0,1,0,0,,Lucknow
Kamats,3.6,200,37,1,1,0,0,0,0,,Lucknow
Kamat's,3.9,150,15,1,1,1,0,0,0,,Lucknow
Kamdhenu Sweets,4.3,150,21,0,0,1,1,0,1,,Lucknow
Kamdhenu's Sweets,4.5,200,37,0,0,0,0,0,0,,Lucknow
Kamireddy Foods,4,200,15,1,0,0,0,0,0,,Lucknow
Kamireddy Foods,4,250,31,1,1,0,0,1,0,,Lucknow
Kamireddy Foods,4.2,200,12,1,1,0,0,0,0,,Lucknow
Kamlesh Dhaba,4.2,250,60,0,1,0,0,0,0,,Lucknow
Kamlesh Sweets,4.1,150,13,0,0,0,1,0,0,,Lucknow
Kamli Bistro,3.6,150,36,0,1,1,0,0,0,,Lucknow
Kamling Restaurant,4.2,200,33,0,0,0,0,0,0,,Lucknow
Kanak Misthan Bhandar,3.9,100,33,0,0,1,1,0,0,,Lucknow
Kancha Lanka,3.7,100,22,0,1,0,0,1,0,,Lucknow
Kanchan Egg Roll,3,100,24,0,0,0,0,1,0,,Lucknow
Kanchan Sweets & Pasteries,4.3,450,24,0,0,1,0,0,1,,Lucknow
Kanchan Veg,4,150,35,1,1,1,1,1,0,,Lucknow
Kanchana Kari Virunthu Restaurant,4,200,27,1,1,1,0,0,0,,Lucknow
Kanchha Momos,4.2,150,36,0,0,0,0,0,0,,Lucknow
Kanchha Momos,4.3,150,36,0,0,0,0,0,0,,Lucknow
Kanchipuram South Indian Restaurant,4,300,29,1,0,0,1,0,0,,Lucknow
Kande Pohe Ani Barach Kahi,4.1,150,43,0,0,1,0,0,0,,Lucknow
Kandha Cafe,3.6,150,34,0,0,1,1,0,0,,Lucknow
Kanha,4.3,100,26,1,1,1,1,0,0,,Lucknow
Kanha Bakery,4,150,43,0,0,0,0,0,1,,Lucknow
Kanha Bakes,4.3,100,27,0,0,0,0,0,1,,Lucknow
Kanha Bikaneri Sweets,4.1,100,27,0,1,1,0,0,0,,Lucknow
Kanha Burger & Sandwich,4,150,32,0,0,1,1,1,0,,Lucknow
Kanha Cake-O-Pastry,3.9,100,20,0,0,0,0,0,1,,Lucknow
Kanha Cakes,4,150,23,0,0,0,0,0,0,,Lucknow
Kanha Cakes & Bakes,3.6,100,31,0,0,1,1,0,1,,Lucknow
Kanha Dugdh Bhandar,4.2,150,32,0,0,0,0,0,0,,Lucknow
Kanha Fastfood,3.6,100,26,0,1,0,0,0,0,,Lucknow
Kanha Ji Desi Ghee Ki Puri,4,150,20,0,1,0,1,0,0,,Lucknow
Kanha Ji Falahari,4.3,100,45,0,1,0,0,0,0,,Lucknow
Kanha Ji Laduwale And Sweets,3.5,200,37,0,0,0,0,0,0,,Lucknow
Kanha Ji Sweets,3.7,200,24,0,0,0,0,0,0,,Lucknow
Kanha Sandwich,4.1,150,31,0,0,1,0,0,1,,Lucknow
Kanha Snack Bar & Restaurant,4.1,50,42,1,1,1,1,0,0,,Lucknow
Kanha Sweets,4.3,550,14,0,0,0,1,0,0,,Lucknow
Kanhaiya Kunj,3.7,250,38,0,1,0,0,0,0,,Lucknow
Kanhaiya Restaurant,3.4,150,23,0,1,0,0,0,0,,Lucknow
Kanhaiya Restaurant & Cafe,3.9,50,28,0,1,0,0,0,0,,Lucknow
Kanhaiya Tiwari Bhojanalay,4.1,150,32,0,1,0,0,0,0,,Lucknow
Kanhaiyakunj Restaurant,4.5,250,21,0,1,0,0,0,0,,Lucknow
Kanheiya Arora Sweets & Restaurant,4,100,23,0,0,0,1,0,0,,Lucknow
Kanibai Chicken Kadai,2.9,100,29,0,0,1,0,0,0,,Lucknow
Kanishk Punjabi Food,3.3,150,47,0,1,0,1,0,0,,Lucknow
Kanishka,4.1,200,47,1,1,1,1,1,0,,Lucknow
Kanishka Dhaba,4,100,35,1,1,0,0,1,0,,Lucknow
Kanji,4.3,100,19,1,0,1,1,0,0,,Lucknow
Kanji Pavitra Bhojnalaya,3.8,250,36,0,1,0,0,0,0,,Lucknow
Kannu Ki Chai,4.2,100,33,0,0,0,1,0,0,,Lucknow
Kannur Adukkala,3.8,250,55,1,0,0,0,0,0,,Lucknow
Kannur Food Kitchen,3.8,100,57,1,0,0,0,1,0,,Lucknow
Kannure's The Cake House,3.1,100,26,0,0,0,1,0,1,,Lucknow
Kanpur Baba Biryani,3,100,34,0,1,0,0,1,0,,Lucknow
Kanpur Baking Co.,4.2,300,45,0,0,1,1,0,1,,Lucknow
Kanpur Cake Wala,3.8,100,39,0,0,0,0,0,1,,Lucknow
Kanpur Gyan's Vegetarian (KGV),4.3,150,16,1,1,1,0,0,0,,Lucknow
Kanpuri Zaika,3.4,250,33,0,0,0,0,1,0,,Lucknow
Kanpuria Da Dhaba,3.3,150,37,0,1,0,0,1,0,,Lucknow
Kanpuriya Chokas Pizza Point,4.2,150,26,0,0,1,0,0,0,,Lucknow
Kan's Calorie Kitchen,3.7,100,35,0,0,0,0,0,0,,Lucknow
Kansar Gujarati Thali,4.1,150,27,0,0,0,0,0,0,,Lucknow
Kanta Chhuri,4.1,200,23,1,1,0,0,0,0,,Lucknow
Kanti Sweets,4.3,200,25,0,0,1,0,0,0,,Lucknow
Kanti Sweets,4.5,300,21,0,0,0,1,0,0,,Lucknow
Kanwarji's,4.2,100,53,0,1,1,1,0,0,,Lucknow
Kanya Restaurant,3.5,150,33,0,1,0,0,0,0,,Lucknow
Kapil Dev's Eleven,3.9,500,36,0,1,0,0,0,0,,Lucknow
Kapila Kathi Kebab,4.4,350,28,0,0,0,0,0,0,,Lucknow
Kapilavasthu,4.2,100,30,1,1,0,0,0,0,,Lucknow
Kapili Restaurant,4.4,250,47,0,1,0,1,0,0,,Lucknow
Kapils Food Arena,4,100,27,0,0,1,0,0,0,,Lucknow
Kapoor Punjabi Kitchen,4,200,29,0,1,0,0,0,0,,Lucknow
Kapoor Punjabi Kulfi,4.3,150,44,0,0,0,0,0,0,,Lucknow
Kapoor's,3.6,200,37,0,1,0,0,0,0,,Lucknow
Kapoor's Cafe,4,100,47,0,1,1,1,0,0,,Lucknow
Kapoor's Cafe,4.2,200,33,0,1,0,1,0,0,,Lucknow
Kapoor's Juice And Coffee Corner,4,350,20,0,0,1,1,0,0,,Lucknow
Kapoor's Kitchen,3.5,100,38,0,1,0,0,0,0,,Lucknow
Kapoor's Kitchen,3.5,150,40,0,0,0,0,1,0,,Lucknow
Kapoor's Mint Leaf Punjabi Restaurant,3.5,300,33,0,1,1,1,0,0,,Lucknow
Kappithan,4.1,250,22,0,0,0,0,1,0,,Lucknow
Kaps Ice Cream Cafe,4.3,250,30,0,0,1,1,0,0,,Lucknow
Kapson Foods,3.7,200,30,0,1,1,1,0,0,,Lucknow
Karachi Bakery,4.2,200,20,0,0,1,1,0,1,,Lucknow
Karachi Bakery,4.3,250,10,0,0,1,0,0,1,,Lucknow
Karachi Bakery And Cafe,4.3,150,37,0,0,1,0,0,0,,Lucknow
Karachi is now Kastoor's Restaurant,4,50,18,0,1,0,0,1,0,,Lucknow
Karachi Sweet Mart,4,200,28,0,0,1,1,0,0,,Lucknow
Karachi Sweet Mart,4.1,200,29,0,0,0,1,0,0,,Lucknow
Karachi Sweet Shop,3.6,300,28,0,1,0,1,0,0,,Lucknow
Karaikudi Chettinad Mess,3.7,150,37,1,0,0,0,1,0,,Lucknow
Karan Dhaba,3.9,100,39,0,1,0,0,0,0,,Lucknow
Karan's Multi Cusine Restaurant & Bar,3.9,250,39,0,1,0,0,1,0,,Lucknow
Karavali Family Restaurant,4,200,31,1,1,0,0,1,0,,Lucknow
Karavali Lunch Home,4.3,150,39,0,0,0,0,0,0,,Lucknow
Karchi,4.2,100,35,0,1,1,0,1,0,,Lucknow
Kareem Hotel,4.2,250,32,0,1,0,0,0,0,,Lucknow
Kareem Kababi,4.4,100,31,0,0,0,0,1,0,,Lucknow
Kareem Kababi - BillouchPura,4.3,150,34,0,0,0,0,0,0,,Lucknow
Kareem's,3.9,200,32,0,1,0,0,1,0,,Lucknow
Kareem's,4,200,45,0,1,0,0,1,0,,Lucknow
Kareem's,4,250,38,0,1,1,0,1,0,,Lucknow
Kareem's,4.1,100,46,0,1,0,0,1,0,,Lucknow
Kareem's,4.1,200,42,0,1,0,0,1,0,,Lucknow
Kareem's,4.2,150,17,0,1,0,0,1,0,,Lucknow
Kareem's,4.2,200,27,0,1,0,0,1,0,,Lucknow
Kareem's Biriyani Paradise,3.9,150,49,0,1,0,0,1,0,,Lucknow
Kareem's Biryani,3.4,200,28,0,0,0,0,1,0,,Lucknow
Kareems Kitchen,4.1,200,33,0,1,0,0,1,0,,Lucknow
Kareem's Kitchen,4,200,32,0,1,0,0,1,0,,Lucknow
Kareem's Kitchen,4.3,200,22,0,1,1,0,1,0,,Lucknow
KarenG The Ahom Kitchen,4.3,150,52,0,1,0,0,0,0,,Lucknow
Kargil Gathiya,4.3,50,29,0,0,0,1,0,0,,Lucknow
Kari Dappa,3.2,100,35,0,0,1,0,0,0,,Lucknow
Kari Kanji,4.1,150,22,1,0,0,0,0,0,,Lucknow
Karikku,3.6,100,42,0,0,0,0,0,0,,Lucknow
Karim Biryani,4,250,16,0,0,0,0,1,0,,Lucknow
Karim Hotel,3.6,300,28,0,0,0,0,0,0,,Lucknow
Karim’s,4.1,200,27,0,1,0,0,1,0,,Lucknow
Karim's,3.7,200,24,0,1,0,0,1,0,,Lucknow
Karim's,3.8,300,29,0,1,0,0,1,0,,Lucknow
Karim's,3.9,200,31,0,1,0,0,0,0,,Lucknow
Karim's,3.9,300,43,0,1,0,0,0,0,,Lucknow
Karim's,3.9,350,37,0,1,0,0,0,0,,Lucknow
Karim's,4,150,34,0,1,0,0,0,0,,Lucknow
Karim's,4.1,100,39,0,1,0,0,0,0,,Lucknow
Karim's,4.1,300,28,0,1,0,0,1,0,,Lucknow
Karim's - Delhi 6,4,150,36,0,1,0,0,1,0,,Lucknow
Karim's - Original From Jama Masjid Delhi 6,3.7,300,38,0,1,0,0,1,0,,Lucknow
Karim's - Original From Jama Masjid Delhi 6,4.2,100,32,0,1,0,0,1,0,,Lucknow
Karim's - Original From Jama Masjid Delhi-6,4.1,100,34,0,1,0,0,1,0,,Lucknow
Karim's - The Original From Jama Masjid Delhi 6,4,100,29,0,1,1,0,0,0,,Lucknow
Karim's Restaurant,3.9,150,25,0,1,0,0,1,0,,Lucknow
Karimulla Biryani Hotel,3.5,200,25,0,0,0,0,1,0,,Lucknow
Karishma Foods,3.9,150,36,0,1,0,0,0,0,,Lucknow
Karishma's Chinese Since 1992,3.4,150,29,0,0,1,0,0,0,,Lucknow
Karishma's Pure Veg Restro,3.9,150,34,0,1,1,0,1,0,,Lucknow
Karkhana By Havstories,3.3,100,46,0,1,0,0,0,0,,Lucknow
Karma,4,250,43,0,0,1,1,0,0,,Lucknow
Karma Cafe,4.3,100,28,0,0,1,1,0,0,,Lucknow
Karma Restaurant Lounge & Bar,4,500,39,0,1,0,0,1,0,,Lucknow
Karnataka,4.2,250,37,1,1,0,0,0,0,,Lucknow
Karnataka Biryani Paradise,4,50,46,0,0,0,0,1,0,,Lucknow
Karnataka Biryani Point,4,100,32,1,0,0,0,1,0,,Lucknow
Karnavati Dabeli,3.8,200,23,0,0,1,1,0,0,,Lucknow
Karnavati Dabeli,3.8,300,33,0,0,1,1,0,0,,Lucknow
Karnavati Dabeli And Vadapav,4.1,450,30,0,0,1,1,0,0,,Lucknow
Karnavati Dabeli Centre,3.5,150,28,0,0,0,1,0,0,,Lucknow
Karnavati Fastfood,3.9,100,20,0,0,1,0,0,0,,Lucknow
Karnavati Snacks,3.6,150,41,0,1,1,1,0,0,,Lucknow
Karnavati Vadapav & Fast Food,3.8,100,31,0,0,0,1,0,0,,Lucknow
Karnawat Bhojan Prasadi,3.8,150,30,1,1,1,0,0,0,,Lucknow
Karnawati Dabeli Centre,4.4,300,45,0,0,1,1,0,0,,Lucknow
Karni Kripa Restaurant,3.9,50,28,0,1,0,0,0,0,,Lucknow
Karn's Restaurant,3.9,150,45,1,1,1,0,0,0,,Lucknow
Karobar Kebab's & Biryani,4,350,26,0,0,1,0,1,0,,Lucknow
Karpagam Restaurant,4.1,150,29,1,0,0,0,0,0,,Lucknow
Kart N Kitchen,3.7,150,33,0,0,1,1,0,0,,Lucknow
Kartar Manni Dhaba,4.2,100,21,0,1,0,0,0,0,,Lucknow
Karthik,4.2,150,32,1,0,0,0,0,0,,Lucknow
Karthik Restaurant,4.2,50,24,1,0,0,0,0,0,,Lucknow
Karthika Hotel,3.9,250,26,0,0,0,0,1,0,,Lucknow
Kartik Food Corner,4.2,100,33,0,0,1,0,0,0,,Lucknow
Karuna Uphar & Sweets,4.2,150,16,1,1,1,0,0,1,,Lucknow
Karuppaiya Hotel,4,150,26,1,0,0,0,0,0,,Lucknow
Kasali Hotel,3.9,50,21,1,1,0,0,0,0,,Lucknow
Kaser Malai Dhaba,3.3,300,31,0,1,0,0,0,0,,Lucknow
Kashi Bakery,3.9,100,27,0,0,0,0,0,1,,Lucknow
Kashi Bhojanalya & Restaurant,3.5,200,46,1,1,0,0,0,0,,Lucknow
Kashi Cafe,3,250,43,0,0,1,1,0,0,,Lucknow
Kashi Fast Food Corner,3.6,200,39,0,1,0,1,0,0,,Lucknow
Kashi Fast Food Dhaba,3.8,150,47,0,1,0,0,0,0,,Lucknow
Kashi Kitchen,4.2,200,34,0,1,0,0,0,0,,Lucknow
Kashi Ram Chole Kulche Wala,4.2,150,57,0,0,0,1,0,0,,Lucknow
Kashish Momos Fast Food Centre,3.1,50,49,0,1,1,0,0,0,,Lucknow
Kashish Punjabi Dhaba Family Restaurant,4,150,32,0,1,0,0,0,0,,Lucknow
Kashmir Cool Bar,3.8,150,29,0,0,0,0,0,0,,Lucknow
Kashmir Sweet Shop,4,200,35,0,1,0,0,0,0,,Lucknow
Kashmiri Spicy,4.1,200,30,0,1,0,0,0,0,,Lucknow
Kashyap Fast Foods,4.1,250,32,1,0,1,1,0,0,,Lucknow
Kasmiri Restaurant,3.4,100,38,0,1,0,0,0,0,,Lucknow
Kasora,3.7,200,30,0,1,0,0,1,0,,Lucknow
Kaso's Pizza,4,100,28,0,0,1,0,0,0,,Lucknow
Kasthuri Bakery & Sweets,4.6,150,29,0,0,1,0,0,1,,Lucknow
Kasturi,3.4,100,41,0,1,0,1,1,0,,Lucknow
Kasturi Restaurant,3.8,100,47,0,0,0,0,0,0,,Lucknow
Kasturi Restaurant,3.9,100,56,0,0,0,0,1,0,,Lucknow
Kasu Kabe Fast Food Corner,3.5,200,42,0,0,1,0,0,0,,Lucknow
Kasundi - Flavours Of Spices,3.7,150,42,0,1,0,0,1,0,,Lucknow
Kasuri - The Veg Adventure,4.2,300,29,0,1,1,0,0,0,,Lucknow
Katak Bites,4.1,150,30,1,1,0,1,0,0,,Lucknow
Katakirr Misal,4.1,50,18,0,0,0,0,0,0,,Lucknow
Katakirrr,3.9,200,27,0,0,0,1,0,0,,Lucknow
Katani Dhaba,3.6,150,24,0,1,0,0,0,0,,Lucknow
Katani Non-Veg,3.8,100,29,0,1,0,0,1,0,,Lucknow
Katani Sweets,4,100,34,1,1,1,1,0,0,,Lucknow
Katani Sweets & Dhaba,3.9,150,43,0,1,0,0,0,0,,Lucknow
Katani Veg And Non Veg,3.5,200,31,0,1,0,0,0,0,,Lucknow
Katani's Non Veg,4.2,150,37,0,1,0,0,1,0,,Lucknow
Kataria Bakers & Confectioners,4,50,26,0,0,1,0,0,1,,Lucknow
Kataria's,3.6,100,58,0,1,0,0,1,0,,Lucknow
Kathi Bite,4,100,49,0,1,1,0,0,0,,Lucknow
Kathi Darbar,4,200,27,0,1,1,0,0,0,,Lucknow
Kathi Express,3.8,200,32,0,0,0,0,0,0,,Lucknow
Kathi Junction,3.5,250,41,0,1,0,0,0,0,,Lucknow
Kathi Junction,3.8,100,31,0,1,0,0,0,0,,Lucknow
Kathi Junction,3.9,150,27,0,0,0,0,0,0,,Lucknow
Kathi Junction,3.9,150,44,0,1,0,0,0,0,,Lucknow
